I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590900,0.339708,0.215661,0.402381,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590935,0.339696,0.215653,0.402368,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.705879,-55.000000,2.326213,85.187500,-24.500000,2.256758,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,57.590958,0.339689,0.215648,0.402359,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.333328,17.555557,2.393654,1.000000,60.201801,0.349652,0.200233,0.402926,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,61.894375,0.356345,0.190315,0.403982,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,62.994549,0.360545,0.183750,0.404668,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,63.709660,0.363210,0.179433,0.405114,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,64.174484,0.364915,0.176607,0.405404,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,64.476616,0.366011,0.174762,0.405593,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.000000,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,64.673004,0.366718,0.173558,0.405715,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,64.800659,0.367176,0.172775,0.405795,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.411758,17.588234,2.326213,1.000000,64.883636,0.367473,0.172265,0.405847,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
