file,frame_index,expected_count,camera_counts,fused_count,count_match,cluster_id,evidence_count,mean_x,mean_y,mean_radius,members
100cm_1灯.csv,90,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,91,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,92,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,93,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,94,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,95,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,96,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,97,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,98,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,99,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,100,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,101,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,102,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,103,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,104,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,105,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,106,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,107,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,108,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,109,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,110,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,111,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,112,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,113,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,114,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,115,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,116,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,117,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
100cm_1灯.csv,118,1,0/0/0,1,1,0,0,0.000000,0.000000,0.000000,missing
