I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.844097,1092.480835,71.845512,1028.131104,-42.605827,1185.101929,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.831474,1092.584839,71.859375,1026.018799,-42.613705,1185.238037,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.225800,82.677422,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.823265,1092.652466,71.868408,1024.645630,-42.618820,1185.326538,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.928574,72.142860,3.656366,164.919998,87.400002,2.820948,46.619049,57.523811,2.585442,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.817934,1092.696533,71.874290,1023.753235,-42.606689,1185.899170,0.000000,0.000000,0.000000,0.000000
26.578947,89.394737,3.477898,45.769230,55.846153,2.876814,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.814468,1092.725098,71.723160,1022.335449,-42.674786,1187.653442,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.647648,1091.714722,71.599457,1021.922607,-42.718945,1188.794434,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.539051,1091.062866,71.519005,1021.656799,-42.747597,1189.536621,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.468393,1090.641479,71.466682,1021.485107,-42.766205,1190.019165,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.422432,1090.368286,71.432663,1021.374023,-42.778290,1190.332886,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.281250,82.593750,3.191538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.392550,1090.191162,71.410553,1021.301941,-42.786144,1190.536865,0.000000,0.000000,0.000000,0.000000
