I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
2.520725,0.004084,9.059909,556.406555,0.000000,-2.520725,-0.000000,-9.074612,-556.672607,0.000000,-2.279275,0.000000,-8.205389,-517.819214,0.000000,2.279275,0.000000,8.205389,517.278931,0.000000
2.584565,0.003183,9.292974,557.103516,0.000000,-2.584565,-0.000000,-9.304433,-557.370422,0.000000,-2.215436,0.000000,-7.975568,-518.417358,0.000000,2.215436,0.000000,7.975568,517.877136,0.000000
2.584565,0.002480,9.295503,557.800659,0.000000,-2.584565,-0.000000,-9.304433,-558.068176,0.000000,-2.215436,0.000000,-7.975568,-519.015503,0.000000,2.215436,0.000000,7.975568,518.475281,0.000000
2.528662,0.001933,9.096226,558.482849,0.000000,-2.528662,-0.000000,-9.103185,-558.750916,0.000000,-2.271338,0.000000,-8.176816,-519.628784,0.000000,2.271338,0.000000,8.176816,519.088562,0.000000
2.528662,0.001506,9.097762,559.165161,0.000000,-2.528662,-0.000000,-9.103185,-559.433655,0.000000,-2.271338,0.000000,-8.176816,-520.242065,0.000000,2.271338,0.000000,8.176816,519.701843,0.000000
2.571786,0.001174,9.254203,559.859192,0.000000,-2.571786,-0.000000,-9.258430,-560.127991,0.000000,-2.228214,0.000000,-8.021571,-520.843689,0.000000,2.228214,0.000000,8.021571,520.303467,0.000000
2.571786,0.000915,9.255136,560.553284,0.000000,-2.571786,-0.000000,-9.258430,-560.822388,0.000000,-2.228214,0.000000,-8.021571,-521.445313,0.000000,2.228214,0.000000,8.021571,520.905090,0.000000
2.547169,0.000713,9.167242,561.240845,0.000000,-2.547169,-0.000000,-9.169808,-561.510132,0.000000,-2.252831,0.000000,-8.110192,-522.053589,0.000000,2.252831,0.000000,8.110192,521.513367,0.000000
2.547169,0.000556,9.167809,561.928406,0.000000,-2.547169,-0.000000,-9.169808,-562.197815,0.000000,-2.252831,0.000000,-8.110192,-522.661865,0.000000,2.252831,0.000000,8.110192,522.121643,0.000000
2.504447,0.000433,9.014449,562.604492,0.000000,-2.504447,-0.000000,-9.016008,-562.874023,0.000000,-2.295553,0.000000,-8.263992,-523.281616,0.000000,2.295553,0.000000,8.263992,522.741394,0.000000
2.504447,0.000337,9.014793,563.280579,0.000000,-2.504447,-0.000000,-9.016008,-563.550232,0.000000,-2.295553,0.000000,-8.263992,-523.901428,0.000000,2.295553,0.000000,8.263992,523.361206,0.000000
