I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
25.194218,8.755120,558.723572,69.044212,-113.807709,14.405784,13.449059,490.756439,4.018241,-199.076523,25.194218,10.267209,558.723572,62.693432,-97.634796,14.405784,14.349360,490.756439,0.236981,-161.438873
25.194218,9.235643,558.723572,67.026009,-105.030487,14.405784,13.275723,490.756439,4.746257,-198.454987,25.194218,10.550066,558.723572,61.505436,-89.580513,14.405784,13.442507,490.756439,4.045763,-160.909058
18.575693,11.460685,517.026855,29.883034,-101.117233,21.024309,12.783294,532.453125,34.612263,-193.922424,18.575693,11.109740,517.026855,31.357000,-85.474236,21.024309,12.885699,532.453125,34.182159,-156.432831
18.575693,13.984860,517.026855,19.281496,-98.592278,21.024309,12.480943,532.453125,35.882137,-189.223572,18.575693,11.067381,517.026855,31.534910,-81.344666,21.024309,12.543819,532.453125,35.618053,-151.768555
19.114689,15.148705,520.422546,16.657133,-96.410980,22.885311,12.681299,544.177490,42.856850,-183.611359,19.114689,12.199372,520.422546,29.044329,-77.541237,22.885311,12.333905,544.177490,44.315903,-145.965286
19.114689,15.091305,520.422546,16.898212,-94.198128,22.885311,12.418318,544.177490,43.961369,-177.854523,19.114689,12.122415,520.422546,29.367550,-73.695488,22.885311,11.819017,544.177490,46.478432,-139.878815
19.004087,15.442061,519.725769,14.960508,-92.239014,22.995913,11.484847,544.874268,48.346474,-171.523438,19.004087,12.847162,519.725769,25.859085,-70.309181,22.995913,13.046877,544.874268,41.785950,-134.406845
19.004087,15.271425,519.725769,15.677180,-90.186043,22.995913,12.455696,544.874268,44.268906,-165.726303,19.004087,14.064157,519.725769,20.747705,-67.592216,22.995913,13.800782,544.874268,38.619545,-129.349533
16.519127,16.324656,504.070496,0.816780,-90.079086,25.480873,14.981797,560.529541,44.096115,-159.951813,16.519127,14.425393,504.070496,8.793681,-66.440666,25.480873,13.877680,560.529541,48.733410,-122.967773
16.519127,17.357338,504.070496,-3.520486,-90.540100,25.480873,14.602823,560.529541,45.687809,-153.968887,16.519127,14.261191,504.070496,9.483329,-65.198799,25.480873,14.696896,560.529541,45.292702,-117.036583
26.573942,16.061405,567.415833,44.152653,-84.758202,15.426058,14.370133,497.184174,4.434882,-153.388123,26.573942,14.546371,567.415833,50.515793,-58.583637,15.426058,15.971894,497.184174,-2.292513,-117.336792
26.573942,15.265703,567.415833,47.494602,-78.538666,15.426058,15.771262,497.184174,-1.449858,-153.577988,26.573942,15.879472,567.415833,44.916775,-52.701675,15.426058,15.982743,497.184174,-2.338079,-117.642967
18.931660,16.707142,519.269470,9.342975,-77.315186,23.068340,17.403555,545.330566,23.792097,-150.462357,18.931660,17.855995,519.269470,4.517791,-52.110058,23.068340,16.375404,545.330566,28.110331,-113.961853
18.931660,18.364185,519.269470,2.383392,-77.003075,23.068340,17.633783,545.330566,22.825138,-147.473343,18.931660,17.911581,519.269470,4.284330,-51.549015,23.068340,15.458498,545.330566,31.961336,-109.776436
13.913149,18.995609,487.652832,-21.346333,-79.798424,28.086851,17.003143,576.947144,46.551571,-141.377289,13.913149,17.559711,487.652832,-15.315562,-53.554623,28.086851,16.053518,576.947144,50.539997,-103.158104
13.913149,18.225304,487.652832,-18.111050,-82.170105,28.086851,15.457930,576.947144,53.041470,-134.431381,13.913149,17.729662,487.652832,-16.029354,-55.653706,28.086851,16.032860,576.947144,50.626762,-96.528412
24.240940,16.594336,552.717896,32.115738,-77.964478,17.759060,15.667169,511.882080,8.785943,-133.280853,24.240940,18.220013,552.717896,25.287893,-52.342194,17.759060,17.178177,511.882080,2.439709,-96.208923
24.240940,16.750921,552.717896,31.458078,-73.844963,17.759060,17.339642,511.882080,1.761557,-133.050171,24.240940,17.363089,552.717896,28.886974,-48.559376,17.759060,17.495401,511.882080,1.107366,-96.063911
22.212002,17.619066,539.935608,19.290329,-71.318848,19.787998,18.752541,524.664368,4.348922,-132.480667,22.212002,16.064936,539.935608,25.817677,-45.178490,19.787998,17.690176,524.664368,8.810853,-94.910110
22.212002,18.152107,539.935608,17.051556,-69.085907,19.787998,17.690060,524.664368,8.811341,-131.326797,22.212002,16.039871,539.935608,25.922947,-41.783821,19.787998,18.967768,524.664368,3.444968,-94.458977
23.607424,17.321394,548.726807,26.401323,-65.628593,18.392576,15.879697,515.873230,10.554092,-129.944717,23.607424,16.024481,548.726807,31.848358,-37.613201,18.392576,18.980209,515.873230,-2.468059,-94.782173
23.607424,17.197336,548.726807,26.922367,-62.103043,18.392576,15.540133,515.873230,11.980259,-128.375870,23.607424,16.787031,548.726807,28.645647,-33.861984,18.392576,18.601849,515.873230,-0.878944,-94.897278
15.588447,19.437164,498.207214,-16.164614,-64.219833,26.411552,16.103642,566.392822,43.293224,-122.706528,15.588447,18.027237,498.207214,-10.242919,-35.203320,26.411552,17.597534,566.392822,37.018875,-90.049561
15.588447,21.198420,498.207214,-23.561886,-67.305321,26.411552,16.835636,566.392822,40.218845,-117.439774,15.588447,18.016724,498.207214,-10.198763,-36.538872,26.411552,16.980886,566.392822,39.608795,-84.862694
20.064789,20.735830,526.408203,-2.818374,-67.674393,21.935211,16.899080,538.191833,21.151749,-114.669899,20.064789,18.782269,526.408203,5.386585,-35.833488,21.935211,18.532265,538.191833,14.292375,-82.991074
20.064789,19.293800,526.408203,3.238151,-67.250351,21.935211,17.324036,538.191833,19.366936,-112.133751,20.064789,19.252314,526.408203,3.412396,-35.386627,21.935211,16.782810,538.191833,21.640083,-80.157249
12.827090,19.952393,480.810669,-29.926268,-71.169266,29.172909,17.584957,583.789307,48.669395,-105.760384,12.827090,20.312920,480.810669,-31.440481,-39.503834,29.172909,17.252645,583.789307,50.065105,-73.601105
12.827090,20.356770,480.810669,-31.624651,-75.310593,29.172909,18.903164,583.789307,43.132927,-100.112022,12.827090,20.964132,480.810669,-34.175575,-43.979206,29.172909,17.541124,583.789307,48.853493,-67.203629
16.904619,20.219057,506.499115,-13.920638,-77.133530,25.095381,18.554543,558.100891,27.471519,-96.514565,16.904619,21.749977,506.499115,-20.350502,-46.644154,25.095381,18.490250,558.100891,27.741550,-63.570801
16.904619,19.362501,506.499115,-10.323104,-78.485367,25.095381,18.726490,558.100891,26.749340,-93.011665,16.904619,21.846485,506.499115,-20.755836,-49.362179,25.095381,19.073013,558.100891,25.293941,-60.258499
