I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
-4.088914,-0.416209,-15.425362,-215.560501,0.000000,-5.511086,-0.891562,-19.401999,-443.668060,0.000000,-8.888914,-0.586391,-34.870594,-731.009583,0.000000,-0.711086,-0.712359,0.005346,-190.423752,0.000000
-4.088914,-0.641552,-14.478921,-217.456543,0.000000,-5.511086,-0.547419,-20.847401,-446.398102,0.000000,-8.888914,-0.746044,-34.200050,-735.488098,0.000000,-0.711086,-0.823388,0.471670,-190.361984,0.000000
-4.070232,-1.165913,-12.198140,-219.053925,0.000000,-5.529768,-0.722115,-20.192139,-449.042328,0.000000,-8.870233,-0.844071,-33.709877,-739.902466,0.000000,-0.729768,-0.891560,0.679529,-190.272995,0.000000
-4.070232,-1.101871,-12.467119,-220.686508,0.000000,-5.529768,-0.829379,-19.741632,-451.627533,0.000000,-8.870233,-1.290260,-31.835884,-744.071472,0.000000,-0.729768,-0.547418,-0.765869,-190.373291,0.000000
-3.560166,-1.062549,-10.489992,-222.060211,0.000000,-6.039834,-0.895239,-21.607302,-454.457062,0.000000,-8.360167,-1.178219,-30.164177,-748.021545,0.000000,-1.239834,-0.722115,-2.174422,-190.658035,0.000000
-3.560166,-1.038405,-10.591395,-223.447174,0.000000,-6.039834,-1.321676,-19.816261,-457.052032,0.000000,-8.360167,-1.881427,-27.210705,-751.584900,0.000000,-1.239834,-0.829378,-1.723915,-190.883789,0.000000
-2.364168,-1.409581,-4.009265,-223.972198,0.000000,-7.235833,-1.969509,-22.118555,-459.948486,0.000000,-7.164168,-3.085196,-17.131681,-753.828308,0.000000,-2.435833,-0.895238,-6.470495,-191.731110,0.000000
-2.364168,-1.637483,-3.052078,-224.371872,0.000000,-7.235833,-2.367279,-20.447926,-462.626190,0.000000,-7.164168,-5.754311,-5.921400,-754.603760,0.000000,-2.435833,-0.935676,-6.300655,-192.556198,0.000000
-0.895785,-2.163414,5.324041,-223.674667,0.000000,-8.704215,-2.611509,-25.589363,-465.977173,0.000000,-5.695786,-9.709146,16.856115,-752.396484,0.000000,-3.904215,-0.960505,-12.363580,-194.175232,0.000000
-0.895785,-2.100336,5.059114,-223.012161,0.000000,-8.704215,-3.147467,-23.338343,-469.033386,0.000000,-5.695786,-15.225416,40.024448,-747.155151,0.000000,-3.904215,-0.975750,-12.299551,-195.785889,0.000000
-0.399699,-2.447607,8.601210,-221.885818,0.000000,-9.200301,-3.862545,-22.418577,-471.969177,0.000000,-5.199699,-21.314405,67.681763,-738.292053,0.000000,-4.400301,-0.599111,-15.964999,-197.876541,0.000000
